Unnamed: 0,Name,Average Vol. (3m),Market Cap,Revenue,P/E Ratio,Beta
,Cencora Inc,1.30M,40.06B,262.17B,23.29,0.536
,CenterPoint Energy,4.55M,17.63B,9.23B,22.10,0.907
,Central Garden&Pet,72.69K,1.99B,3.31B,17.00,0.671
,Central Garden&Pet A,157.98K,1.99B,3.31B,17.00,0.671
,Central Valley Community,18.41K,210.3M,89.05M,7.58,0.783
,Century Casinos,137.13K,136.32M,510.20M,-6.35,
,Ceragon,210.31K,152.75M,332.35M,-20.11,1.43
,Cerus,1.08M,301.69M,153.63M,-5.99,1.15
,CEVA,156.03K,529.18M,117.67M,-38.63,1.13
,CF Bankshares,5.25K,108.09M,50.61M,5.92,0.557
,CF Industries,2.08M,14.97B,7.67B,7.27,
,CH Robinson,1.07M,9.62B,18.44B,25.03,
,Charles Schwab,9.59M,102.85B,19.92B,18.44,0.94
,Charles&Colvard,245.72K,14.07M,27.53M,-0.65,0.905
,Chart Industries,545.68K,4.81B,1.17B,51.67,
,Charter Communications,1.04M,67.43B,54.57B,13.07,1.14
,Check Point Software,817.44K,17.03B,2.39B,19.88,0.636
,Chevron,9.06M,272.71B,202.70B,10.76,1.16
,Chimera Investment,1.88M,1.14B,307.16M,9.77,
,China Automotive,35.13K,108.06M,545.98M,3.44,2.39
,China Fund,22.94K,104.83M,2.11M,-20.43,
,China Green Agriculture,6.85K,32.11M,118.94M,-2.20,0.645
,China Jo-Jo Drugstores,242.37K,6.44M,148.81M,-0.10,-0.032
,China Natural Resources,2.70K,13.85M,20.31M,-4.01,0.47
,China Techfaith,11.48K,10,,,-37.59
,Chipotle Mexican Grill,234.72K,60.92B,9.54B,52.30,1.33
,Chubb,1.70M,92.63B,48.26B,13.24,0.616
,Churchill Downs,363.08K,9.01B,2.38B,25.18,1.07
,Ciena Corp,1.36M,6.81B,4.23B,31.06,0.913
,Cigna,1.31M,84.23B,189.86B,16.13,
,Cincinnati Financial,645.26K,16.11B,9.77B,9.58,0.65
,Cineverse,52.19K,14.02M,66.42M,-4.59,1.79
,Cintas,371.79K,56.52B,8.99B,41.05,
,Cirrus,493.87K,4.11B,1.76B,30.03,0.983
,Cisco,17.49M,196.51B,58.03B,14.53,0.964
,Citi Trends,68.26K,221.26M,755.03M,11.03,2.32
,Citigroup,17.15M,86.56B,72.55B,7.11,1.55
,Citizens,5.41K,57.57M,41.09M,11.23,0.044
,Citizens Community,8.76K,112.32M,60.85M,7.90,0.948
,Citizens&Northern,20.20K,300.45M,106.45M,10.85,0.345
,City Holding,60.20K,1.45B,287.50M,12.41,0.54
,Civista Bancshares,24.05K,242.03M,163.55M,5.32,0.85
,Clarus,320.07K,204.86M,385.37M,-2.40,0.947
,Clean Energy,1.83M,776.11M,432.06M,-8.28,2.22
,Clearfield,209.95K,405.35M,268.72M,12.35,1.42
,ClearOne,35.56K,19.38M,18.57M,0.92,0.791
,Cleveland-Cliffs,9.12M,8.47B,21.93B,25.34,2.18
,Clorox,1.73M,17.52B,7.04B,203.02,0.33
,CME Group,1.39M,78.19B,5.34B,25.86,0.459
,CMS Energy,2.60M,16.8B,7.79B,22.57,0.392
,CNB Financial,39.79K,433M,218.47M,7.86,0.815
,CNX Resources,2.48M,3.82B,1.97B,1.50,1.42
,Coca-Cola,14.83M,253.22B,45.03B,23.47,0.592
,Coca-Cola Bottling,34.29K,6.8B,6.60B,15.14,0.844
,Coca-Cola European,1.24M,28.10B,18.02B,15.13,0.685
,Coca-Cola Femsa ADR,151.96K,18.05B,242.07B,1.49,0.782
,Codexis,849.56K,141.76M,73.96M,-1.66,1.75
,Codorus Valley,14.77K,197.19M,96.61M,7.15,0.548
,Cogent,350.49K,3.13B,786.90M,2.92,0.424
,Cognex,1.01M,6.38B,,40.31,1.53
,Cognizant A,2.98M,35.69B,19.43B,17.32,1.08
,Cohen Steers,153.59K,2.78B,495.78M,21.31,1.37
,Coherent,2.10M,6.12B,370.20M,56.98,
,Coherus BioSciences,4.27M,229.41M,211.07M,-0.81,0.865
,Cohu,256.88K,1.55B,690.20M,29.94,1.57
,Colgate-Palmolive,4.32M,63.65B,19.14B,40.44,0.445
,Colliers International,104.08K,5.12B,4.32B,239.04,1.57
,Colony Bankcorp,43.70K,186.92M,111.79M,8.62,0.566
,Color Star Technology Co,295.14K,7.29M,3.54M,-0.075,2.21
,Columbia Banking,1.51M,4.59B,1.63B,11.32,0.928
,Columbia Sportswear,438.34K,4.56B,3.60B,16.35,0.957
,Columbus McKinnon,86.46K,1.01B,978.11M,19.73,1.29
,Comcast,18.31M,171.39B,120.87B,11.78,1.06
,Comerica,1.98M,5.77B,3.72B,4.94,1.27
,Commerce Bancshares,568.01K,6.27B,1.54B,12.63,0.766
,Commercial National Financial,1.39K,29.38M,17.27M,7.54,0.341
,Commercial Vehicle,169.89K,201.56M,1.01B,-35.19,2.91
,Community Trust,45.39K,720.71M,223.45M,8.72,0.733
,Community West Bancshares,10.79K,122.58M,50.29M,11.94,0.628
,Compugen,170.85K,56.98M,7.50M,-1.78,2.67
,Computer Programs&Systems,275.37K,157.4M,336.79M,-201.27,0.815
,Computer Task,88.39K,168.51M,301.98M,282.97,0.862
,Comstock,5.78K,42.47M,43.01M,5.72,1.0
,Comtech,191.80K,351.31M,549.99M,-10.24,1.54
,Conagra Brands,4.30M,13.62B,12.28B,12.58,0.596
,CONMED,358.54K,3.35B,1.17B,57.75,1.37
,Conns,96.98K,81.54M,1.25B,-0.58,2.48
,ConocoPhillips,4.94M,137.13B,61.84B,12.62,
,Consolidated Communications,616.14K,488.08M,1.13B,-1.71,
,Consolidated Edison,2.09M,31.4B,15.25B,13.36,
,Consolidated Water,177.66K,568.17M,155.39M,26.63,0.118
,Constellation Brands A,1.02M,43.78B,9.79B,29.97,
,Consumer Portfolio Services,26.08K,204.44M,226.16M,3.84,2.27
,Corcept,738.08K,2.61B,450.03M,29.27,0.428
,Corning,3.51M,24.06B,13.00B,40.85,1.08
,CorVel,31.82K,3.66B,750.60M,48.70,1.06
,CoStar,1.85M,34.62B,2.39B,85.03,
,Costco,1.70M,261.82B,242.29B,41.82,0.773
,Coterra Energy,6.13M,20.14B,6.39B,9.11,0.322
,Covenant,51.25K,559.82M,1.13B,10.66,1.51
,CRA,28.67K,679.66M,607.34M,19.40,1.23
,Cracker Barrel Old,563.85K,1.74B,3.44B,17.41,1.47
,Credit Acceptance,55.94K,5.47B,929.40M,17.81,1.38
,Cresud SACIF,177.44K,1.74B,186.77B,5.68,1.23
,Crocs,1.38M,5.73B,3.95B,8.59,1.93
,Cross Country,423.92K,734.65M,2.23B,7.26,
,Crown Crafts,13.41K,50.43M,81.87M,11.44,0.739
,Crumbs,9.11K,1.21K,,,1.51
,CSG Systems,366.54K,1.45B,1.16B,21.09,
,CSI Compressco,55.83K,205.89M,381.83M,-20.00,0.866
,CSP,27.04K,118.85M,66.01M,22.31,1.19
,CSX,12.93M,64.5B,14.71B,17.24,1.2
,CTI Industries,68.96K,56.67M,16.60M,-61.39,0.929
,Cumberland,18.32K,24.58M,39.32M,-10.20,0.216
,Cummins,773.90K,31.96B,33.29B,11.41,1.07
,Curis,62.04K,49.65M,10.21M,-0.93,3.14
,Cutera,1.01M,39.09M,246.37M,-0.48,1.66
,CVB Financial,981.43K,2.49B,549.56M,10.36,0.457
,CVD Equipment,12.81K,33.44M,27.23M,-93.40,1.66
,CVS Health Corp,7.15M,89.34B,346.60B,10.56,0.561
,Cyanotech,8.80K,4.85M,22.80M,-1.19,0.476
,Cyclacel,142.26K,3.91M,389.00K,-0.15,1.06
,Cyren,1.08K,799.98,17.30M,,0.719
,Cytokinetics Inc,1.31M,3.13B,7.82M,-5.78,0.63
,Daily Journal Corp,2.35K,463.92M,64.67M,-26.65,0.8
,Daktronics,480.21K,556.37M,814.81M,17.58,1.19
,Danaher,3.02M,163.61B,29.57B,27.66,0.831
,Darden Restaurants,1.09M,18.77B,10.77B,19.28,1.25
,Data I/O,13.44K,26.88M,28.46M,31.15,1.04
,DaVita,1.28M,9.07B,11.91B,14.79,
,Dawson Geophysical,11.59K,48.22M,75.94M,-2.59,0.974
,Deere&Company,1.46M,106.61B,61.25B,10.71,1.08
,Delcath Systems,368.10K,65.92M,2.17M,-0.86,0.512
,Dell Tech,4.93M,53.83B,93.62B,28.33,0.902
,Delta Air Lines,9.50M,23.12B,57.26B,6.77,1.35
,Denny’s,658.26K,513.87M,469.42M,18.52,1.87
,Dentsply,2.70M,6.64B,3.94B,-31.30,
,Descartes Systems,121.06K,6.89B,526.62M,60.69,0.865
,Destination XL Group,451.30K,241.03M,528.55M,8.00,1.56
,Deswell Industries,4.84K,43.18M,70.63M,6.80,0.395
,Devon Energy,8.85M,29.06B,14.93B,7.70,2.32
,DexCom,5.13M,43.64B,3.40B,115.58,1.12
,Diamond Hill,14.65K,464.64M,137.85M,10.99,0.959
,Digi,269.96K,884.59M,444.85M,36.57,1.31
,Digimarc,100.57K,662.12M,32.79M,-13.89,1.32
,Digital Ally,14.13K,5.88M,31.19M,-0.20,0.959
,Dillards,105.74K,5.68B,6.88B,7.44,1.0
,Dime Community,144.11K,796.22M,376.67M,7.04,1.13
,Diodes,332.38K,3.16B,1.84B,10.73,1.47
,Discover,2.18M,21.7B,10.44B,6.38,1.43
,DISH Network,9.60M,1.96B,15.62B,1.59,1.83
,Dmc Global,196.71K,320.93M,720.23M,10.24,1.65
,Dollar Tree,2.36M,25.81B,29.31B,21.23,0.686
,Dominion Energy,6.18M,39.3B,17.90B,23.92,0.53
,Donegal A,28.71K,471.32M,911.31M,43.83,-0.049
,Donegal B,0.98K,471.32M,911.31M,48.23,-0.049
,Dorchester Minerals,91.59K,1.14B,145.68M,10.84,
,Dorman,106.94K,2.3B,1.94B,23.74,0.605
,Dover,833.03K,19.54B,8.47B,19.05,
,Dow,4.01M,36.24B,45.86B,28.27,1.32
,DR Horton,2.56M,42.47B,35.46B,9.14,1.54
,Dr. Reddy’s Labs ADR,242.05K,11.29B,266.85B,18.54,0.364
,DRDGOLD ADR,232.19K,747.08M,5.50B,1.11,1.31
,Dryworld Brands,597.35K,1.85M,,,-1.19
,DTE Energy,1.50M,21.73B,13.83B,17.42,0.646
,Duke Energy,3.44M,69.93B,28.75B,64.26,0.455
,DuPont De Nemours,2.43M,30.76B,12.27B,7.07,1.19
,Durect,692.31K,19.69M,9.19M,-0.43,1.5
,DXC Technology,3.35M,4.47B,14.04B,-8.89,1.9
,DXP Enterprises,65.78K,513.28M,1.68B,9.20,1.84
,Dynasil of America,1.03K,20.18M,,-119.84,0.111
,Dynatronics,25.42K,2.54M,37.91M,-0.41,0.323
,Dynavax,1.50M,1.75B,361.18M,28.52,1.44
,Eagle,263.28K,709.85M,310.06M,5.97,0.988
,Eagle Bulk Shipping,149.69K,605.25M,568.41M,1.69,
,Eagle Montana,5.83K,92.7M,85.57M,8.02,0.52
,East West Bancorp,929.18K,8.6B,2.33B,6.86,1.41
,Eastern Co,7.84K,116.78M,275.54M,21.42,1.09
,Eastman Chemical,874.95K,9.71B,9.38B,16.66,1.5
,Eaton,2.15M,91.33B,22.61B,30.47,1.07
,eBay,5.82M,21.53B,10.06B,8.16,1.33
,Ebix,2.01M,143.69M,735.63M,28.94,2.62
,Ecolab,994.69K,53.39B,15.05B,43.41,
,EDAP,148.45K,185.74M,56.53M,-7.62,1.22
,Edison,1.98M,25.26B,16.65B,20.36,0.874
,Education Management,4.80K,126,,,-16.93
,Educational Development,25.04K,7.64M,70.37M,-4.05,1.07
,Edwards Lifesciences,4.09M,41.18B,5.82B,28.76,1.02
,eGain,70.83K,240.23M,97.42M,51.55,0.59
,eHealth,184.81K,218.41M,401.53M,-2.24,
,El Paso Energy Capital Trust I,5.04K,,,,
,Elbit Imaging,0.45K,10.51M,,-7.18,0.796
,Electro-Sensors,2.76K,13.34M,8.35M,36.41,0.408
,Electronic Arts,2.03M,36.74B,7.59B,37.59,0.797
,Elevance Health,1.06M,112.48B,168.63B,18.53,0.851
